model,base_rate,threshold,precision,recall,f1,positive_rate_pred
RF_B_local_history,0.13927678878110603,0.794,0.5547077922077922,0.5811718683561528,0.5676315461605549,0.14592142510274905
RF_C_local_plus_neighbors,0.13927678878110603,0.78,0.5622926343729263,0.5764945998809422,0.5693050598362377,0.14279453742197587
RF_D_fatality_split,0.13927678878110603,0.768,0.5403951110769467,0.5978399523769028,0.5676679586563308,0.15408212817870637
Logit_C_local_plus_neighbors,0.13927678878110603,0.972,0.5747017119142314,0.5652691555404371,0.56994640943194,0.1369908443781165
Logit_D_fatality_split,0.13927678878110603,0.972,0.5751214434420542,0.5638234543753721,0.5694164125907158,0.13654076206042948
