hypothesis,future_window_weeks,test,estimate_log_odds,cluster_se,odds_ratio,ci_low,ci_high,p_value_two_sided,supported_at_5pct,n_cell_weeks,positive_outcomes,cell_clusters,week_clusters
H1B temporal diffusion,1,Focal-cell protest history in previous 1 week(s) predicts focal protest in next 1 week(s),2.7326622108653065,0.08662917017800832,15.373760781473575,12.972983948874237,18.218824712758938,2.1422628661146717e-218,True,798172,23733,1532,521
H1A spatial diffusion,1,"Neighboring-cell protest history in previous 1 week(s) predicts focal protest in next 1 week(s), controlling focal history",0.5712488194855903,0.03819008078981408,1.7704766772079856,1.6427904028516902,1.9080873975743686,1.380282975151315e-50,True,798172,23733,1532,521
H1B temporal diffusion,2,Focal-cell protest history in previous 2 week(s) predicts focal protest in next 2 week(s),2.39704643049245,0.06588407448358582,10.990666696446743,9.659227194980735,12.505633421186392,7.967257699038127e-290,True,796640,39190,1532,520
H1A spatial diffusion,2,"Neighboring-cell protest history in previous 2 week(s) predicts focal protest in next 2 week(s), controlling focal history",0.4442872500444808,0.03061700753084791,1.5593783527951057,1.4685535184421532,1.6558203815040338,1.0301572955253614e-47,True,796640,39190,1532,520
H1B temporal diffusion,4,Focal-cell protest history in previous 4 week(s) predicts focal protest in next 4 week(s),2.155003407925091,0.05659090533806662,8.627919582222276,7.722091395201863,9.640004567098064,0.0,True,793576,62392,1532,518
H1A spatial diffusion,4,"Neighboring-cell protest history in previous 4 week(s) predicts focal protest in next 4 week(s), controlling focal history",0.35756730826902056,0.026418370578273946,1.4298468037225676,1.3576934970555041,1.5058346280287611,9.745000568913247e-42,True,793576,62392,1532,518
