grid_km,horizon_weeks,model,delta_average_precision_nonpeaceful,delta_roc_auc_nonpeaceful,delta_brier_nonpeaceful
200,1,Logistic regression,0.0005370703161369228,0.0006332654320782005,-0.0006693595565712696
200,1,Random forest,0.00039358195126970585,0.0015950165990002985,0.0016232689236690967
200,2,Logistic regression,0.0006812398568207811,0.0006451509747583684,-0.0006386688176826805
200,2,Random forest,-4.055530181934497e-05,0.0008065695708175946,-0.00019455288992398234
200,4,Logistic regression,0.0007806667263201561,0.0008471435445996933,-0.0006109410888175681
200,4,Random forest,-0.0016935301976992445,-0.0017577774145430825,-2.375229676057633e-05
