model,base_rate,threshold,precision,recall,f1,positive_rate_pred
RF_B_temporal_focal_history,0.051861568588069895,0.838,0.5061746122917863,0.4266005082899673,0.4629933670453799,0.04370857601928098
RF_C_spatiotemporal_neighbors,0.051861568588069895,0.842,0.5369955156950673,0.40578482391383275,0.46225959881436546,0.03918959630447881
RF_D_peaceful_nonpeaceful_diffusion,0.051861568588069895,0.8200000000000001,0.5087617668356264,0.42514825124046957,0.4632120253164557,0.0433382707370958
Logit_C_spatiotemporal_neighbors,0.051861568588069895,0.966,0.4808855885588559,0.4232119085078059,0.4502092050209205,0.04564169511950191
Logit_D_peaceful_nonpeaceful_diffusion,0.051861568588069895,0.9440000000000001,0.43836875358989086,0.46181774174028806,0.4497878359264498,0.05463572002410123
