model_family,feature_set,avg_precision,brier,f1,roc_auc
Logit,A_place_time,0.152278944737769,0.6095678142170088,0.24450035347444588,0.5487896812285044
Logit,B_local_history,0.6049020110036747,0.3870574375755338,0.24450543738173955,0.8447845510425522
Logit,C_local_plus_neighbors,0.6083214473220772,0.38403591988622715,0.2445028954016655,0.8500791245182288
Logit,D_fatality_split,0.6077935418778615,0.3837819058285779,0.24450543738173955,0.8494609529560189
Logit,E_extended,0.6276435085480917,0.3702331607142261,0.24449226994375306,0.8565742078247706
RF,A_place_time,0.3943265363332634,0.19028973954840173,0.2652965326210615,0.7204477238407098
RF,B_local_history,0.6066972001171081,0.16652863761425166,0.31107440840618505,0.8398099377909308
RF,C_local_plus_neighbors,0.6099356656304565,0.16118448552818304,0.3056814413617774,0.8445863898456142
RF,D_fatality_split,0.6096036462917966,0.16834082042908607,0.29270011090090675,0.8444009152062255
RF,E_extended,0.6269908606982806,0.19805456937008145,0.25707969492649496,0.8544570939184298
