grid_km,outcome,model,feature_set,n_features,n_train,n_test,test_base_rate,roc_auc,average_precision,brier,threshold,precision,recall,f1,positive_rate_pred,horizon_weeks
200,target_local_riot_1w,Logistic regression,A_riot_history,11,267520,66560,0.2551983173076923,0.8039275303793906,0.6539829850643524,0.2555154845340731,0.2551983173076923,0.2551983173076923,1.0,0.4066262897086635,1.0,1
200,target_local_riot_1w,Random forest,A_riot_history,11,267520,66560,0.2551983173076923,0.8219121172367376,0.6705235190718428,0.18512774356211528,0.2551983173076923,0.33624884637972985,0.9437772283056635,0.495839905972596,0.7162860576923077,1
200,target_local_riot_1w,Logistic regression,B_add_peaceful_history,17,267520,66560,0.2551983173076923,0.8077748634069324,0.6117892024396003,0.26420832694615015,0.2551983173076923,0.2551983173076923,1.0,0.4066262897086635,1.0,1
200,target_local_riot_1w,Random forest,B_add_peaceful_history,17,267520,66560,0.2551983173076923,0.8285331837332965,0.6744910621618565,0.19340117262413328,0.2551983173076923,0.32690302398331594,0.959731543624161,0.48768959224578934,0.74921875,1
200,target_local_riot_1w,Logistic regression,C_add_nonpeaceful_history,23,267520,66560,0.2551983173076923,0.8084081288390106,0.6123262727557373,0.2635389673895789,0.2551983173076923,0.2551983173076923,1.0,0.4066262897086635,1.0,1
200,target_local_riot_1w,Random forest,C_add_nonpeaceful_history,23,267520,66560,0.2551983173076923,0.8301282003322968,0.6748846441131262,0.19502444154780238,0.2551983173076923,0.3220375482077485,0.9684446014364771,0.48334729016997957,0.7674429086538461,1
200,target_local_riot_2w,Logistic regression,A_riot_history,11,267520,65920,0.3714047330097087,0.7962428659251106,0.7489364703442848,0.23941631772310049,0.3714047330097087,0.3714047330097087,1.0,0.5416413172129243,1.0,2
200,target_local_riot_2w,Random forest,A_riot_history,11,267520,65920,0.3714047330097087,0.8257394365634568,0.7722557492789847,0.18538085205016094,0.3714047330097087,0.5032576237444575,0.9086304782910591,0.6477499381251183,0.6705703883495145,2
200,target_local_riot_2w,Logistic regression,B_add_peaceful_history,17,267520,65920,0.3714047330097087,0.803298736686364,0.7152357170193269,0.24504254158077388,0.3714047330097087,0.3881194753805406,0.9935465424988768,0.558188097341579,0.950758495145631,2
200,target_local_riot_2w,Random forest,B_add_peaceful_history,17,267520,65920,0.3714047330097087,0.83236475620758,0.7767477636682351,0.19006131451261052,0.3714047330097087,0.4943013746302419,0.9282359188008006,0.6450843753104643,0.6974514563106796,2
200,target_local_riot_2w,Logistic regression,C_add_nonpeaceful_history,23,267520,65920,0.3714047330097087,0.8039438876611223,0.7159169568761476,0.2444038727630912,0.3714047330097087,0.3901346011757525,0.9920761344606461,0.5600350468636516,0.9444478155339806,2
200,target_local_riot_2w,Random forest,C_add_nonpeaceful_history,23,267520,65920,0.3714047330097087,0.8331713257783976,0.7767072083664157,0.18986676162268654,0.3714047330097087,0.4939485136510273,0.9318302495609199,0.645648790151408,0.7006523058252427,2
200,target_local_riot_4w,Logistic regression,A_riot_history,11,267520,64640,0.5045018564356436,0.786955270986092,0.822123736902449,0.21685097221535876,0.5045018564356436,0.5829134498171475,0.879795161141946,0.701225696863047,0.7614480198019802,4
200,target_local_riot_4w,Random forest,A_riot_history,11,267520,64640,0.5045018564356436,0.832410051917021,0.8504708477903784,0.17545242286104026,0.5045018564356436,0.6825974025974026,0.846156204961516,0.7556273618489512,0.6253867574257426,4
200,target_local_riot_4w,Logistic regression,B_add_peaceful_history,17,267520,64640,0.5045018564356436,0.7996776874722883,0.803663265350941,0.21773997540817427,0.5045018564356436,0.6208058066759388,0.8759927631780687,0.7266460630572196,0.7118811881188118,4
200,target_local_riot_4w,Random forest,B_add_peaceful_history,17,267520,64640,0.5045018564356436,0.838948337138494,0.8537850646035281,0.17638004646273775,0.5045018564356436,0.6779333540061542,0.8715157462206005,0.762631819035608,0.6485612623762376,4
200,target_local_riot_4w,Logistic regression,C_add_nonpeaceful_history,23,267520,64640,0.5045018564356436,0.800524831016888,0.8044439320772612,0.2171290343193567,0.5045018564356436,0.6228179143510951,0.8763300726748643,0.7281390134529148,0.7098545792079208,4
200,target_local_riot_4w,Random forest,C_add_nonpeaceful_history,23,267520,64640,0.5045018564356436,0.837190559723951,0.8520915344058289,0.17635629416597717,0.5045018564356436,0.6834865741531108,0.8593726043359603,0.7614040807455104,0.6343285891089109,4
