grid_km,outcome,model,feature_set,n_features,n_train,n_test,test_base_rate,roc_auc,average_precision,brier,threshold,precision,recall,f1,positive_rate_pred,horizon_weeks
100,target_local_riot_1w,Logistic regression,A_riot_history,11,640376,157796,0.132810717635428,0.7839071644907397,0.45891354759051206,0.30811440126370643,0.132810717635428,0.132810717635428,1.0,0.23447998075556775,1.0,1
100,target_local_riot_1w,Random forest,A_riot_history,11,640376,157796,0.132810717635428,0.8155438012218258,0.4776734258896035,0.16450352716034766,0.132810717635428,0.17816102225002234,0.9513766283342081,0.3001196685407212,0.7092068240006084,1
100,target_local_riot_1w,Logistic regression,B_add_peaceful_history,17,640376,157796,0.132810717635428,0.7997155321457861,0.4159890597307649,0.30376984337617396,0.132810717635428,0.132810717635428,1.0,0.23447998075556775,1.0,1
100,target_local_riot_1w,Random forest,B_add_peaceful_history,17,640376,157796,0.132810717635428,0.8220247023507757,0.49105035234233085,0.17586561099849737,0.132810717635428,0.17016414926326048,0.9665505559001766,0.28938176363441553,0.7543790717128445,1
100,target_local_riot_1w,Logistic regression,C_add_nonpeaceful_history,23,640376,157796,0.132810717635428,0.8014314030795098,0.41791193262563975,0.3017944967873644,0.132810717635428,0.132810717635428,1.0,0.23447998075556775,1.0,1
100,target_local_riot_1w,Random forest,C_add_nonpeaceful_history,23,640376,157796,0.132810717635428,0.8260026416674495,0.493337567227906,0.18711293177135221,0.132810717635428,0.15805275079663686,0.9822016509996659,0.27228953912905446,0.8253377778904408,1
100,target_local_riot_2w,Logistic regression,A_riot_history,11,640376,156264,0.21105948906977934,0.7719433231314811,0.572521549382558,0.2999784456100761,0.21105948906977934,0.21105948906977934,1.0,0.34855346244286506,1.0,2
100,target_local_riot_2w,Random forest,A_riot_history,11,640376,156264,0.21105948906977934,0.8131014197844305,0.6066710254752677,0.1811914613976192,0.21105948906977934,0.29511701932100737,0.924865831842576,0.4474548921813114,0.6614383351251728,2
100,target_local_riot_2w,Logistic regression,B_add_peaceful_history,17,640376,156264,0.21105948906977934,0.7924924386982207,0.5351784141138836,0.2937638339493044,0.21105948906977934,0.21105948906977934,1.0,0.34855346244286506,1.0,2
100,target_local_riot_2w,Random forest,B_add_peaceful_history,17,640376,156264,0.21105948906977934,0.8219097194021452,0.6209080036363405,0.19128544172331838,0.21105948906977934,0.2804837625979843,0.9493041448106485,0.4330249090632477,0.7143359954948036,2
100,target_local_riot_2w,Logistic regression,C_add_nonpeaceful_history,23,640376,156264,0.21105948906977934,0.7943120807653461,0.5373064041331299,0.2921388815100891,0.21105948906977934,0.21105948906977934,1.0,0.34855346244286506,1.0,2
100,target_local_riot_2w,Random forest,C_add_nonpeaceful_history,23,640376,156264,0.21105948906977934,0.8253182264140803,0.6235723276020207,0.19668557687141974,0.21105948906977934,0.2687037115409031,0.9625541978715018,0.42012625226632083,0.7560602570009727,2
100,target_local_riot_4w,Logistic regression,A_riot_history,11,640376,153200,0.3139164490861619,0.7570112483859514,0.6659712976087198,0.28462165517501986,0.3139164490861619,0.3139164490861619,1.0,0.4778331975438666,1.0,4
100,target_local_riot_4w,Random forest,A_riot_history,11,640376,153200,0.3139164490861619,0.8128757730735743,0.70977616864715,0.19045046279435102,0.3139164490861619,0.44358955772556413,0.8907302669882725,0.5922397881944684,0.630345953002611,4
100,target_local_riot_4w,Logistic regression,B_add_peaceful_history,17,640376,153200,0.3139164490861619,0.7825876641710345,0.6425298885321734,0.277458917630752,0.3139164490861619,0.3139164490861619,1.0,0.4778331975438666,1.0,4
100,target_local_riot_4w,Random forest,B_add_peaceful_history,17,640376,153200,0.3139164490861619,0.8213836749921076,0.7212695411608933,0.19684267061390912,0.3139164490861619,0.42510766043562914,0.9216293770273642,0.5818384693643136,0.6805678851174934,4
100,target_local_riot_4w,Logistic regression,C_add_nonpeaceful_history,23,640376,153200,0.3139164490861619,0.7847890014679942,0.6449039676036692,0.2760231647691445,0.3139164490861619,0.3139164490861619,1.0,0.4778331975438666,1.0,4
100,target_local_riot_4w,Random forest,C_add_nonpeaceful_history,23,640376,153200,0.3139164490861619,0.8246782653424627,0.7248738511640109,0.19828536882321823,0.3139164490861619,0.4138875863146958,0.9359976711303335,0.573971476114274,0.7099151436031331,4
