model_family,h1b_delta_ap_B_minus_A,h1b_delta_auc_B_minus_A,h1a_delta_ap_C_minus_B,h1a_delta_auc_C_minus_B,brier_A,brier_B,brier_C
Logit,0.3212314229810439,0.1765888033038765,0.0006781591750966154,0.023297102973583117,0.4775113280495374,0.29569764562663153,0.2808542286463918
RF,0.11646487050018606,0.039358848596762974,-0.002004723355697846,0.0026935904218778894,0.08314454797559938,0.09384347386016358,0.08908341275081966
