grid_km,horizon_weeks,model,delta_average_precision_nonpeaceful,delta_roc_auc_nonpeaceful,delta_brier_nonpeaceful
100,1,Logistic regression,0.0019228728948748608,0.0017158709337237177,-0.0019753465888095456
100,1,Random forest,0.0022872148855751506,0.003977939316673784,0.01124732077285484
100,2,Logistic regression,0.002127990019246351,0.001819642067125371,-0.001624952439215288
100,2,Random forest,0.002664323965680282,0.003408507011935069,0.005400135148101365
100,4,Logistic regression,0.0023740790714957827,0.0022013372969597045,-0.0014357528616074644
100,4,Random forest,0.0036043100031176722,0.0032945903503550644,0.0014426982093091179
