model,top_share,n_flagged,precision_at_top,recall_at_top,lift_vs_base_rate
RF_B_temporal_focal_history,0.01,1594,0.8268506900878294,0.15950623260317076,15.943418461855703
RF_B_temporal_focal_history,0.05,7967,0.4698129785364629,0.45298317802251,9.058981271240174
RF_B_temporal_focal_history,0.1,15933,0.31061319274461807,0.598935011497035,5.989274933270544
RF_C_spatiotemporal_neighbors,0.01,1594,0.8117942283563363,0.15660171850417523,15.653098247072291
RF_C_spatiotemporal_neighbors,0.05,7967,0.4680557298857788,0.45128887813142926,9.0250978253953
RF_C_spatiotemporal_neighbors,0.1,15933,0.31098976966045316,0.5996611400217838,5.996536127370287
RF_D_peaceful_nonpeaceful_diffusion,0.01,1594,0.8212045169385195,0.15841703981604743,15.834548381311924
RF_D_peaceful_nonpeaceful_diffusion,0.05,7967,0.46943642525417345,0.45262011376013556,9.051720532844843
RF_D_peaceful_nonpeaceful_diffusion,0.1,15933,0.30942069917780707,0.5966356045019968,5.9662811519546946
Logit_C_spatiotemporal_neighbors,0.01,1594,0.8324968632371392,0.1605954253902941,16.05228854239948
Logit_C_spatiotemporal_neighbors,0.05,7967,0.4575122379816744,0.44112307878494494,8.821797150326057
Logit_C_spatiotemporal_neighbors,0.1,15933,0.30797715433377265,0.5938521118237928,5.93844657457235
Logit_D_peaceful_nonpeaceful_diffusion,0.01,1594,0.8318695106649937,0.1604744039695026,16.040191866783506
Logit_D_peaceful_nonpeaceful_diffusion,0.05,7967,0.45663361365633237,0.4402759288394046,8.804855427403622
Logit_D_peaceful_nonpeaceful_diffusion,0.1,15933,0.30734952614071426,0.592641897615878,5.926344584406114
