model,feature_set,n_features,roc_auc,avg_precision,brier,threshold,precision,recall,f1,positive_rate_pred
RF_B_temporal_focal_history,B_temporal_focal_history,8,0.8466211949296907,0.45367743061173343,0.09384347386016358,0.051861568588069895,0.06701017735729946,0.9506232603170761,0.12519524401517326,0.7357212793733682
RF_D_peaceful_nonpeaceful_diffusion,D_peaceful_nonpeaceful_diffusion,17,0.847490197467199,0.45186296201352416,0.0945013016652514,0.051861568588069895,0.06179602624583186,0.9733752874258744,0.11621404885238085,0.8168934525005022
RF_C_spatiotemporal_neighbors,C_spatiotemporal_neighbors,11,0.8493147853515686,0.4516727072560356,0.08908341275081966,0.051861568588069895,0.06552290264324413,0.9659929807575941,0.12272164694848674,0.764586262301667
Logit_C_spatiotemporal_neighbors,C_spatiotemporal_neighbors,11,0.8387273273149641,0.44658093490636386,0.2808542286463918,0.051861568588069895,0.051861568588069895,1.0,0.0986091138545626,1.0
Logit_B_temporal_focal_history,B_temporal_focal_history,8,0.815430224341381,0.44590277573126724,0.29569764562663153,0.051861568588069895,0.051861568588069895,1.0,0.0986091138545626,1.0
Logit_D_peaceful_nonpeaceful_diffusion,D_peaceful_nonpeaceful_diffusion,17,0.837932922007909,0.44507060233473505,0.2805013921199808,0.051861568588069895,0.051861568588069895,1.0,0.0986091138545626,1.0
RF_A_place_time,A_place_time,5,0.8072623463329277,0.3372125601115474,0.08314454797559938,0.051861568588069895,0.06765612952968389,0.9345274113518093,0.12617750145017526,0.7163587065675838
Logit_A_place_time,A_place_time,5,0.6388414210375045,0.12467135275022335,0.4775113280495374,0.051861568588069895,0.051861568588069895,1.0,0.0986091138545626,1.0
