model_family,roc_auc_B,roc_auc_C,delta_roc_auc_C_minus_B,avg_precision_B,avg_precision_C,delta_avg_precision_C_minus_B,brier_B,brier_C,delta_brier_C_minus_B
RF,0.8398099377909308,0.8445863898456142,0.0047764520546833555,0.6066972001171081,0.6099356656304565,0.0032384655133483875,0.16652863761425166,0.16118448552818304,-0.005344152086068615
Logit,0.8447845510425522,0.8500791245182288,0.005294573475676523,0.6049020110036747,0.6083214473220772,0.003419436318402469,0.3870574375755338,0.38403591988622715,-0.003021517689306641
